refGene	Sample_279_CF	Sample_571_CF	Sample_665_CF	Sample_812_CF	Sample_223_CM	Sample_487_CM	Sample_511_CM	Sample_620_CM	Sample_324_DF	Sample_338_DF	Sample_566_DF	Sample_252_DM	Sample_323_DM	Sample_763_DM
FUCA1	2118	1242	6266	1201	1964	845	5660	5565	2368	4431	3127	2375	3101	3915
MIR378F	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRSF10	21874	14432	19684	20739	29835	20570	10625	26648	21699	15193	16575	15579	21277	20540
PNRC2	8237	3558	8640	6130	10675	5826	4562	13919	8883	7196	6004	7388	9861	9616
MYOM3	159	77	1992	49	162	143	1201	1013	761	1157	1238	1596	605	251
IL22RA1	7	2	34	9	4	4	2	4	6	26	16	29	11	27
LOC284632	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STPG1	246	334	453	235	582	441	243	683	599	489	516	456	435	495
GRHL3	35	13	34	15	33	17	16	45	34	24	32	50	25	29
RCAN3	429	711	1202	535	1480	982	577	2292	1262	1046	1008	627	1235	811
LOC100506985	65	175	216	125	300	185	93	410	211	195	184	127	234	155
RCAN3AS	0	0	0	0	0	0	4	7	4	0	0	0	0	0
SRRM1	7891	5228	7088	5619	8751	7678	4323	8500	6468	5820	5050	5811	7702	5582
MIR6731	0	0	0	2	0	1	0	0	0	0	0	0	0	1
RUNX3	4	8	3	0	0	8	4	2	8	16	2	23	0	46
MIR4425	0	0	0	2	0	1	0	1	4	0	0	0	0	3
SYF2	1281	1317	1947	1178	2730	1669	1487	4034	2140	1896	1694	1898	2086	2418
RSRP1	4864	6811	6438	7537	3623	7857	6588	8070	4758	6889	6942	7210	5022	9314
RHD	32	56	47	66	19	44	11	50	16	93	63	59	31	100
TMEM50A	3594	3303	6178	3770	6959	4346	3693	6853	6015	4615	3736	3128	6047	4292
LDLRAP1	803	843	1010	766	956	622	333	740	828	525	605	496	856	637
LOC646471	234	414	228	280	237	293	280	222	228	402	320	334	223	291
PAQR7	963	801	1662	1032	1259	919	1066	1129	1405	1287	1109	1123	1022	1288
AUNIP	642	116	372	245	1034	275	68	353	467	241	129	283	448	146
MTFR1L	1480	1753	1811	1811	2933	1857	1112	2735	2312	1669	1806	1861	2250	1928
SELENON	4582	4630	6720	4477	3445	6106	3882	5286	3953	5417	5779	3604	5573	6056
PAFAH2	1050	986	2027	939	1919	874	1039	1839	1431	1212	1200	1047	1266	1435
MIR3917	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EXTL1	43	442	148	45	37	112	68	108	131	119	132	108	32	316
TRIM63	4	8	9	0	0	0	0	0	10	18	8	39	2	27
PDIK1L	770	432	481	411	1279	831	216	1113	767	761	562	671	934	564
SLC30A2	0	35	6	3	0	8	5	2	6	7	17	13	2	14
ZNF593	573	463	763	649	485	660	790	669	728	360	649	489	467	572
CNKSR1	126	54	360	62	145	175	770	364	132	473	242	348	301	163
CEP85	2942	1442	2212	2460	3810	2141	991	1966	2575	1796	1490	1987	2462	1719
LOC101928303	2	4	6	8	4	5	8	15	24	14	2	10	6	10
FAM110D	2	10	0	2	2	2	2	2	4	1	0	6	0	0
CATSPER4	0	0	0	0	1	1	0	0	0	0	0	1	0	0
UBXN11	597	756	378	468	428	537	496	554	686	362	516	508	524	513
AIM1L	13	3	36	32	18	21	40	52	13	138	26	44	28	27
ZNF683	4	2	0	0	0	2	0	0	0	0	0	0	0	0
CD52	0	0	0	2	0	4	0	4	2	2	0	0	2	2
DHDDS	3180	2939	3433	2245	5329	3079	2361	2943	4696	3395	3553	2774	3414	2601
LOC101928324	57	95	49	102	60	82	50	58	71	52	69	56	73	76
HMGN2	15598	5967	9326	6144	14767	7907	2240	14793	11207	5468	5758	5766	17832	7316
MIR1976	2	3	0	1	0	0	1	0	0	0	1	0	1	0
PIGV	1326	871	2426	757	1111	815	1469	1882	2953	2099	1490	1525	1453	2887
LOC101928728	74	32	71	46	85	85	44	71	114	89	99	62	95	70
ARID1A	9405	6799	12335	7423	8788	9731	6869	11930	9961	9652	9170	8908	10029	9198
SFN	826	77	885	54	606	399	1421	1980	593	1361	765	671	1840	524
ZDHHC18	2204	1459	3292	1645	2285	2090	2461	2893	2526	2702	2512	2343	2798	2289
GPN2	899	794	1141	761	1257	830	783	1261	1182	907	988	884	983	890
GPATCH3	613	583	713	410	771	619	508	771	859	614	678	718	735	771
NR0B2	17	0	33	0	0	0	16	2	10	44	14	24	4	20
KDF1	26	27	79	36	32	33	102	199	32	112	103	91	50	33
TRNP1	1230	845	5369	1285	2049	674	2503	2920	2515	3812	1824	2368	2410	1786
FAM46B	476	164	368	277	654	283	155	418	439	257	342	276	521	179
SLC9A1	1993	1890	5519	1402	1443	2142	2277	2263	2267	3314	3528	2635	2269	2887
WDTC1	1356	1777	2692	1831	986	2029	1849	2448	1510	2393	2028	1656	1947	2033
ACTG1P20	434	445	507	401	426	510	328	442	546	351	355	580	545	402
MAP3K6	1229	1599	1569	1137	1145	1189	1233	893	1416	924	1141	839	1180	979
FCN3	1	2	0	0	4	4	0	0	2	1	3	0	10	5
SYTL1	682	1876	997	1295	331	1650	1823	1123	641	735	974	1197	851	2023
GPR3	174	153	152	121	242	131	94	91	180	88	134	128	182	118
CD164L2	2	3	0	0	0	0	2	0	2	2	0	4	0	2
IFI6	199	494	1077	584	292	477	890	585	7622	3633	537	3084	4019	5555
FGR	1	1	4	2	0	2	0	5	4	0	0	2	2	4
SCARNA1	21	29	15	10	18	24	9	83	7	21	18	36	15	31
PPP1R8	3009	1904	2931	1855	5069	2338	1417	3724	3374	2122	2057	2035	3229	2173
FAM76A	583	488	602	482	875	712	343	865	784	641	425	592	695	544
STX12	3883	3017	6222	3762	8954	3706	4332	7202	9989	4558	4514	3768	6279	5033
THEMIS2	183	917	329	1125	108	834	588	1061	302	288	682	317	369	1706
XKR8	517	493	864	457	700	476	362	626	935	519	627	454	829	678
SMPDL3B	39	50	339	50	79	33	307	769	78	164	128	182	50	104
RPA2	2413	997	1939	1525	4637	1186	1003	3026	2676	1422	1355	1373	3299	1260
DNAJC8	4550	2817	4829	3270	6837	3530	2331	6986	5563	3695	3349	3173	5892	3670
PTAFR	14	14	14	23	16	30	24	98	20	12	6	8	44	8
ATPIF1	3258	2714	4200	2868	4428	2499	3537	5800	3862	3761	2702	3092	5117	3577
MED18	776	660	1128	765	1054	934	570	1999	1010	1020	871	988	1367	1088
SESN2	986	1839	3368	812	1180	2842	3113	5545	2234	4623	3947	4454	1935	4870
SNORA73B	18978	34895	18506	27080	16275	17634	14496	19805	19996	19736	21983	19547	16684	23230
SNHG12	1810	694	1283	1005	1515	1058	2174	1931	2198	1688	1490	2077	1216	1463
SNORA61	388	154	279	173	408	180	160	325	401	288	212	295	248	217
SNORA44	140	69	113	65	93	53	186	101	145	94	159	102	111	132
SNORA16A	224	76	172	113	110	78	169	162	228	153	185	131	138	118
RAB42	67	25	298	94	115	48	399	340	109	314	219	226	266	163
TRNAU1AP	806	516	966	658	712	797	655	1291	934	1071	851	789	1021	734
SNORD99	82	11	49	31	42	11	62	21	73	50	61	53	24	45
RNU11	161	360	277	257	121	225	333	523	155	149	566	248	163	340
YTHDF2	8919	6479	10059	6868	15253	9226	4943	16539	10779	8565	6558	8082	11898	8222
GMEB1	870	646	1094	816	1184	796	691	1082	1185	888	847	717	888	913
OPRD1	0	0	0	0	0	4	0	2	0	0	0	2	0	0
TMEM200B	458	258	346	521	291	595	218	591	327	231	300	377	500	315
MECR	685	630	926	833	1097	862	621	870	1010	692	643	505	968	633
LINC01756	2	29	25	19	3	4	3	12	10	16	11	25	22	12
LINC01648	0	0	2	0	0	0	0	0	0	0	0	0	2	2
LAPTM5	6	4	14	8	44	29	2	104	20	8	18	10	78	40
MIR4420	0	0	0	0	0	1	0	0	0	0	0	0	0	0
SNORD103A	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD103B	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD103C	15	19	14	36	20	19	21	16	11	17	17	13	11	13
SDC3	3481	3812	12478	3585	4243	3613	5703	8555	4896	6595	5085	3756	5655	5049
NKAIN1	6	18	14	6	26	2	8	4	24	4	6	2	2	10
SNRNP40	3009	1372	2261	2064	4480	2024	977	3561	2963	1562	1354	1529	2972	1981
FABP3	182	354	166	195	228	879	192	449	192	488	436	308	437	221
ZCCHC17	1889	1350	2219	1262	3131	1539	1561	3228	1981	1845	1333	1353	2197	1694
LINC01225	5	0	0	9	3	14	12	3	2	34	9	2	8	13
SERINC2	3449	2498	2761	868	1092	1615	2964	2170	1637	1939	2907	1619	1520	2643
LINC01226	10	2	1	16	3	20	12	3	0	19	4	1	16	19
PEF1	3822	2848	4916	3082	5697	3513	2409	7442	5456	3316	3611	2902	6041	4444
TINAGL1	8488	2369	16140	4900	8134	5401	7169	6039	6045	5655	5810	3704	5349	9991
HCRTR1	34	51	23	83	16	36	19	12	20	23	31	36	13	35
MIR4254	1	4	1	2	0	6	0	1	1	3	4	0	0	1
ADGRB2	1631	2712	2948	3105	668	1768	1421	758	2468	831	2038	521	1007	3014
COL16A1	12705	20343	21292	25148	4392	11479	15009	4030	21101	5322	10272	3636	9701	34548
SPOCD1	6021	3872	7003	2887	5310	4485	3643	2677	9983	3909	6143	1609	4979	5870
MIR5585	2	5	3	2	0	3	1	2	1	4	0	2	3	0
TMEM39B	461	578	540	497	522	569	240	619	561	374	433	366	598	419
CCDC28B	259	554	485	555	415	558	345	357	325	244	351	341	374	468
EIF3I	9124	5577	10992	6723	13922	7794	6502	11003	13071	8186	7441	6712	11046	8619
TXLNA	9692	8314	13785	8288	14644	9827	7138	14598	12340	12358	9885	10163	13644	11093
LCK	4	0	8	0	18	28	2	170	0	8	10	5	20	0
DCDC2B	157	242	162	238	79	269	168	137	136	187	217	170	158	200
IQCC	406	496	307	412	529	475	291	262	466	329	324	322	374	307
MTMR9LP	112	270	171	549	73	383	238	414	100	236	225	191	206	269
TMEM234	608	746	834	727	791	730	625	876	977	879	789	703	804	761
FAM167B	14	14	29	26	12	20	44	36	14	25	22	31	17	15
BSDC1	3340	4046	7482	3463	6732	4254	5476	6802	5521	6368	5300	5008	5104	5971
TSSK3	88	189	164	140	75	219	313	123	119	219	186	249	99	148
MARCKSL1	3735	3330	6064	3027	3409	4856	2878	6345	2845	4194	4147	2361	4283	2832
FAM229A	17	21	7	13	1	8	51	10	4	1	28	13	0	10
ZBTB8B	3	2	8	8	10	4	0	4	2	4	6	6	2	10
ZBTB8OS	677	551	804	638	1334	652	629	971	875	691	676	675	756	831
RBBP4	8139	5136	6786	6861	11682	8395	4105	14645	8166	7103	5329	6712	9077	6440
KIAA1522	4240	3539	10557	3370	2858	3431	7116	9627	3845	6813	5531	6320	6587	5001
YARS	7228	6225	7308	4187	8574	8238	4142	12666	8678	8500	6563	6701	8495	9883
FNDC5	43	68	13	84	42	36	16	32	41	26	26	49	37	32
HPCA	8	4	16	20	8	7	8	21	4	14	10	11	6	8
TMEM54	457	272	1215	596	298	349	1066	1123	650	566	694	703	708	705
AK2	7092	5328	6481	7835	12575	7160	3169	7588	9807	5874	5305	5318	6737	5559
TRIM62	501	897	671	1144	471	1394	504	1011	647	668	671	496	679	711
MIR3605	52	65	26	63	15	58	22	23	19	31	47	30	35	59
ZNF362	912	1508	1081	1480	1445	1663	800	1818	963	930	1236	794	1507	1154
A3GALT2	8	16	4	32	4	3	4	2	7	8	8	5	3	20
HMGB4	0	0	4	0	0	4	0	0	0	0	2	2	0	15
C1orf94	2	0	0	0	0	0	0	0	2	0	0	0	0	0
MIR552	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GJB5	0	0	32	0	1	6	2	6	7	7	6	9	12	8
GJB4	2	2	101	12	14	2	8	42	18	29	20	6	22	2
GJB3	18	7	178	19	62	24	132	130	34	127	84	38	100	54
SMIM12	2833	1669	3233	1825	5066	2167	1570	3779	4186	2313	2093	1755	4165	1851
GJA4	0	7	0	11	0	1	0	0	3	2	6	6	8	1
LOC653160	51	71	80	146	98	111	137	104	104	117	105	92	60	113
TMEM35B	415	443	707	547	1067	643	677	1361	889	634	573	508	832	921
ZMYM6	2004	2534	2930	2278	3387	3342	2421	4359	2748	3478	2705	2929	2855	2846
ZMYM1	2314	1805	2389	2628	4330	2616	1227	3290	2741	1776	1375	2047	2525	2596
NCDN	1798	2161	3044	2120	2478	2001	2130	1841	2536	1782	2574	1709	2192	2350
PSMB2	7680	4141	7951	4403	13629	6258	3924	10106	8484	6131	6438	5092	10495	6064
C1orf216	1670	1478	1668	1373	2201	1571	781	1893	2279	1465	1438	1435	1742	1411
CLSPN	6916	1187	4256	3338	9687	2781	159	2638	6088	1693	1955	2587	4536	1425
AGO1	5251	4208	5234	4943	6487	5581	2288	7970	5279	4644	4654	4554	6977	4682
ADPRHL2	2287	1428	2844	1835	3290	1869	1498	2944	3482	2241	1769	2119	3260	2046
TEKT2	13	63	17	83	12	106	25	117	20	26	44	64	28	70
MAP7D1	6592	7175	12097	5424	6893	7342	13148	7084	7576	7363	10601	6779	8179	6951
TRAPPC3	2865	2136	4261	2756	5103	2780	2622	4402	4281	3493	3116	2834	4212	3845
SH3D21	631	831	690	1007	917	616	2405	232	1035	620	1002	661	583	581
EVA1B	458	1107	769	1226	519	1135	1491	1442	575	402	1052	588	963	992
LSM10	828	509	918	516	1016	564	541	884	867	585	640	639	941	627
MRPS15	3267	1954	2965	2086	4589	2501	2027	5043	3696	2288	2088	1996	3930	3015
CSF3R	2	0	0	0	0	2	0	2	1	1	4	2	0	1
OSCP1	228	284	280	244	374	344	301	809	352	355	298	289	472	391
MIR4255	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01137	214	252	278	466	283	320	282	532	336	172	313	330	353	505
ZC3H12A	3346	2873	8139	3617	1233	2228	8667	3366	6726	3555	6933	3225	3094	9345
MEAF6	1985	1829	2597	1621	2833	1816	1589	3990	2325	2200	1982	1774	2429	1987
MIR6732	13	18	24	23	2	17	111	10	22	13	63	14	8	38
MIR5581	13	11	7	9	13	4	6	7	14	11	7	8	8	6
GNL2	5830	3764	5023	3841	13065	5800	1936	6832	7524	4094	3550	3610	6286	4125
DNALI1	347	620	392	748	221	847	232	1013	380	333	504	490	355	517
RSPO1	0	0	0	4	2	0	4	1	0	0	0	1	0	0
C1orf109	1268	595	824	795	1499	1131	551	1133	1148	1017	672	977	871	872
EPHA10	0	5	12	0	4	0	6	2	2	6	4	4	2	0
MANEAL	54	72	89	50	136	21	44	23	120	52	64	16	34	34
CDCA8	3848	528	1875	926	3889	1448	215	2197	1784	965	785	1195	2656	904
C1orf122	854	1320	1831	1296	1912	962	1681	1436	2099	980	1338	844	1400	1401
MTF1	2214	1494	2796	1764	2784	2143	1220	2687	3071	2491	1991	2107	2678	2264
SF3A3	6717	4437	5637	4462	10528	6070	2535	7339	6980	4600	4225	4472	6833	4302
UTP11	2940	1671	2279	2141	5280	3009	1245	3867	3856	2038	1978	1903	3539	2519
POU3F1	2	0	2	0	10	2	2	6	0	0	0	6	2	0
FHL3	757	1338	1066	1129	912	2257	715	1397	1286	1063	1128	825	1498	1018
MIR3659	0	1	1	0	0	0	0	0	0	1	0	0	0	0
LINC01343	0	0	0	0	0	0	0	0	0	0	0	2	2	1
RHBDL2	141	122	56	75	46	100	63	26	78	173	91	135	63	79
GJA9-MYCBP	66	55	22	42	13	44	26	25	22	49	36	65	27	30
LOC105378663	10	17	3	4	2	3	4	7	4	7	4	17	8	4
MYCBP	21	7	17	18	12	10	11	23	22	2	6	16	15	18
GJA9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NDUFS5	4812	2248	5552	5130	9639	2699	2958	7209	6249	4666	4537	3334	7129	6237
AKIRIN1	4633	3335	6455	4492	7868	4479	3904	5597	7631	5503	4641	4844	5316	5787
KIAA0754	13018	10585	24916	14008	12485	13007	19195	24762	10925	22352	16019	14034	16567	16103
LOC101929516	85	45	64	71	62	38	27	26	56	39	61	41	46	104
SNORA55	69	85	41	54	25	52	54	17	48	28	42	34	47	89
PABPC4	9294	5120	9635	6806	10395	6071	4906	9921	9908	5852	5726	5494	9875	8136
OXCT2P1	118	46	118	61	77	88	88	263	202	186	112	107	101	139
PPIEL	259	443	286	403	173	423	284	303	315	281	435	459	191	205
HEYL	16	517	57	36	48	85	18	18	46	20	39	19	26	444
HPCAL4	10	0	0	0	2	0	0	0	0	10	0	8	2	4
NT5C1A	0	0	0	2	0	0	0	0	0	1	0	0	0	0
PPIE	1429	1406	1713	1482	2223	1704	1775	3239	1938	1625	1640	1436	2130	2084
OXCT2	106	30	151	64	125	62	106	260	188	144	114	82	147	151
TRIT1	1106	1192	1394	1459	2342	1566	683	1962	1735	1202	1206	1337	1252	1668
MYCL	107	75	219	76	117	93	131	101	250	282	253	187	79	127
LOC101929536	0	0	0	6	2	0	2	2	0	4	6	6	0	2
MFSD2A	963	321	1432	465	866	438	425	448	2166	1216	501	530	605	929
PPT1	6109	3266	5129	5428	10090	5267	1963	6864	7851	3332	3247	3346	7301	5311
CAP1	48200	31449	76880	36104	107846	37136	30292	63189	82641	64612	39450	31427	72944	44294
TMCO2	0	15	0	3	2	7	0	2	2	0	2	6	0	0
ZMPSTE24	6361	4700	7474	4112	14110	6319	3484	9546	8863	5510	4993	5243	9298	5406
SMAP2	1104	955	1344	906	2229	1066	471	1075	1900	891	920	755	1274	902
COL9A2	48	76	79	622	85	256	189	696	30	44	110	96	278	320
ZFP69B	220	321	388	201	462	731	205	695	435	317	373	319	445	378
ZFP69	333	272	339	362	360	377	264	525	361	358	306	333	357	346
ZNF684	249	149	141	191	423	225	152	244	298	220	188	224	250	141
EXO5	555	373	683	550	1096	655	303	780	911	490	601	625	727	303
RIMS3	98	86	213	129	136	181	107	460	122	262	123	268	167	210
NFYC	1249	1100	1386	1001	1362	1066	953	1937	1267	1084	1100	1337	1520	1247
MIR30E	13	2	4	3	5	8	0	10	5	15	3	7	11	10
MIR30C1	11	0	4	7	2	2	0	3	5	3	2	7	6	2
CITED4	301	267	338	299	274	446	524	434	170	304	374	239	673	532
SLFNL1-AS1	324	311	296	416	285	448	219	83	370	271	453	233	179	264
CTPS1	9563	3845	8998	6452	26866	9407	3107	5721	16325	7500	7203	5387	9332	6821
SLFNL1	131	151	60	221	73	140	141	21	112	66	150	90	38	90
FOXO6	10	10	10	30	7	20	4	19	6	8	16	6	4	6
LOC101929901	2	5	2	4	5	7	3	1	7	3	2	4	0	2
EDN2	72	28	304	108	96	10	138	203	78	157	44	74	33	47
GUCA2B	0	0	0	0	0	1	0	0	0	2	0	0	0	0
GUCA2A	0	1	0	4	0	0	0	0	0	0	2	0	0	0
PPCS	1201	1213	1725	1492	2354	1693	1090	3229	2069	1541	1253	1551	1922	1835
ZMYND12	8	18	13	36	22	38	21	34	19	26	12	46	29	55
CCDC30	22	25	47	27	9	38	78	73	37	47	79	152	28	63
P3H1	5427	9039	7823	11631	11597	9221	4290	7797	6908	5526	6490	4363	8084	9899
C1orf50	435	344	728	443	744	499	471	867	582	423	469	369	529	492
LOC105378683	17	24	32	18	46	24	20	40	26	28	20	21	29	11
YBX1	19376	10551	19060	12589	29444	15611	10862	26493	19802	14847	13369	13065	23379	16717
PPIH	1081	467	843	674	1361	773	383	1412	1066	634	628	633	1280	612
CLDN19	4	3	4	4	1	6	1	6	0	6	0	8	2	4
ZNF691	332	400	540	561	485	459	389	571	403	598	338	499	445	407
LOC339539	2	1	17	4	0	4	9	2	13	6	14	21	13	5
SVBP	372	247	348	277	447	317	276	919	365	319	298	281	452	327
ERMAP	802	1139	1293	623	889	872	731	2025	1177	1308	993	984	1157	1033
SLC2A1	10366	8150	22860	7006	20130	8301	15438	16980	15769	13561	15180	7999	18890	10267
SLC2A1-AS1	46	66	50	85	57	52	106	53	60	75	116	114	63	60
EBNA1BP2	5379	2305	4307	2879	8841	3502	1509	4840	6405	2806	2966	2881	5412	2701
MIR6733	3	9	0	8	5	9	3	2	7	2	2	6	3	2
FAM183A	3	24	13	34	2	23	2	8	5	16	20	6	10	6
TMEM125	25	12	54	55	20	26	146	166	103	64	42	196	43	50
C1orf210	0	0	2	0	3	0	4	6	6	0	0	2	4	0
MPL	18	10	18	21	22	21	15	41	19	20	2	28	12	16
MED8	2957	2396	3221	3312	5536	3135	1699	4815	4146	2577	2493	2306	3924	3638
ELOVL1	5689	3611	8584	3153	11684	4443	3380	7130	9581	5432	4656	4414	7594	4858
MIR6734	4	3	1	5	2	6	3	8	7	4	3	3	1	0
CDC20	7526	904	4123	1293	6150	2195	216	4750	3236	1712	1705	2426	6558	1658
HYI	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR6735	14	10	9	15	3	16	6	7	9	14	18	10	6	12
KDM4A	3331	4015	6140	3175	4054	4237	3067	8307	4048	5407	3940	4020	5422	5041
LOC101929592	12	28	7	20	13	18	26	5	7	19	24	15	7	14
ARTN	29	41	29	19	10	23	38	21	25	21	28	57	8	47
MIR6079	15	14	17	16	11	15	9	10	9	7	6	11	6	6
B4GALT2	3633	2778	3746	3010	4445	2899	1603	2935	3666	1921	2481	1885	3330	2861
CCDC24	141	286	519	165	84	244	405	378	245	274	271	317	205	378
SLC6A9	147	472	101	198	170	785	193	1032	299	710	577	683	264	923
ATP6V0B	3796	2925	4746	3324	6938	3708	3320	5092	5719	3422	3987	3356	4890	4782
DPH2	2451	1559	2775	1673	3116	1762	1221	2294	2809	1871	1664	1808	2385	1641
KLF17	8	10	6	4	4	2	0	6	10	0	4	0	0	6
DMAP1	1618	1579	1534	1234	1271	1251	1507	1835	1425	1273	1494	1412	1539	1532
SNORA110	1	2	9	4	2	9	8	1	1	2	7	10	1	3
MIR5584	0	0	0	0	0	0	0	0	0	0	1	0	0	0
TMEM53	100	104	161	137	117	146	137	488	142	127	142	87	204	210
C1orf228	12	53	23	37	14	14	16	16	31	25	36	63	2	36
SNORD55	25	46	25	21	14	17	55	11	21	10	21	13	15	44
SNORD46	122	57	98	70	100	82	31	84	92	50	54	58	86	78
SNORD38A	54	49	34	50	50	57	31	35	70	37	45	33	51	86
SNORD38B	35	21	20	27	20	19	13	21	29	9	11	10	28	25
TCTEX1D4	113	310	122	219	60	185	321	75	130	135	327	153	78	206
BTBD19	221	1044	295	1261	200	941	528	374	286	335	709	464	267	605
PTCH2	209	455	214	329	97	278	170	514	189	125	403	272	184	280
RPS8	34394	24094	29008	35675	55387	28707	23572	63343	45504	22172	22400	23077	42752	36782
BEST4	35	36	84	38	33	23	73	61	52	50	100	58	62	34
PLK3	1637	3244	2467	1930	1981	2516	2156	1586	2707	1836	3341	1886	1879	2859
UROD	6070	4565	7298	4911	9471	5743	3057	9921	8498	5054	5152	4431	9316	6031
HECTD3	2878	2831	4427	2770	2990	3654	2583	4532	4485	3617	2885	3008	4539	3167
TOE1	1319	433	963	768	1687	921	246	927	1095	700	593	843	976	816
LINC01144	14	9	16	26	2	22	24	18	22	16	17	22	16	14
HPDL	171	39	85	170	158	154	51	91	109	61	62	104	119	54
MUTYH	535	434	485	517	427	489	325	813	584	338	342	447	507	416
PRDX1	20262	11916	25260	19929	37038	22507	14444	37330	33615	17134	19626	14649	34416	20994
MMACHC	805	439	729	644	882	646	295	910	665	601	620	689	681	852
CCDC163	81	54	68	154	91	492	136	212	230	263	319	302	100	312
NASP	7490	3454	5105	5545	8207	5379	1365	7178	4528	3180	2995	4080	5623	3579
CCDC17	191	309	243	317	81	246	167	161	155	261	224	272	135	164
RPS15AP10	141	104	61	138	70	123	135	69	81	147	95	164	74	76
AKR1A1	3336	3702	4662	5584	5016	4128	3884	7371	5054	3640	3627	3243	4977	5382
TMEM69	1386	674	1202	1034	2126	1087	864	2082	1624	843	791	967	1486	1236
IPP	805	863	1078	951	1382	982	765	1551	1476	973	885	723	1108	989
LOC101929626	2	0	1	0	4	0	2	13	3	0	0	1	1	0
TSPAN1	162	90	1236	139	218	122	451	2584	239	281	216	207	819	263
UQCRH	3018	2002	2898	2704	5488	2643	2225	5636	3901	2737	2294	2283	3641	3418
RAD54L	1482	425	943	979	1841	860	164	650	1122	576	579	611	882	406
LRRC41	6801	5508	10252	5729	8729	5966	7128	9600	9696	7119	6743	5708	8386	6654
LURAP1	50	82	79	101	35	100	77	129	17	71	40	53	98	59
FAAH	85	92	205	85	89	84	127	261	144	185	124	205	112	112
FAAHP1	16	3	28	4	6	1	2	8	21	32	15	5	6	0
LINC01398	8	2	6	0	0	0	2	0	7	3	10	12	13	0
NSUN4	1639	1154	1928	1456	2540	1763	1336	2251	2119	1876	1477	1903	1805	1893
DMBX1	2	0	2	4	0	2	0	2	0	2	2	0	0	0
MKNK1-AS1	75	51	49	64	18	67	35	57	46	81	53	37	48	51
KNCN	0	3	0	3	0	0	0	0	0	0	0	1	0	0
ATPAF1	1391	938	1517	1191	1929	959	722	2217	1441	1128	890	1041	1630	1376
TEX38	10	13	7	25	1	15	16	10	6	20	17	7	14	11
EFCAB14-AS1	40	30	33	36	23	40	15	37	38	67	33	28	37	35
EFCAB14	7405	5486	10360	6665	11558	6295	6248	13962	8718	8703	6268	7052	10784	7812
MOB3C	657	767	1068	985	559	867	768	1441	835	1101	771	1076	936	1049
CYP4B1	2	0	0	2	0	0	0	0	0	0	0	0	0	0
CYP4A11	0	5	5	4	4	3	11	0	7	27	0	6	17	3
CYP4A22	38	36	56	20	11	18	65	36	49	61	53	29	33	22
PDZK1IP1	514	123	3642	278	35	120	6149	1381	1684	1777	1983	345	494	2838
TAL1	18	2	120	4	4	117	458	32	78	6	145	47	16	234
LINC00853	3	2	14	2	14	5	18	15	16	12	6	1	8	3
STIL	4504	923	2940	1814	7472	2162	892	3599	3501	1914	1478	2100	4035	1513
LINC01389	29	41	34	57	24	72	34	35	55	59	14	43	28	40
FOXD2-AS1	70	48	53	36	28	48	97	63	76	84	127	78	60	61
FOXE3	2	0	0	0	0	0	0	10	0	2	2	0	0	0
FOXD2	37	34	24	15	12	44	52	39	30	55	64	12	27	14
SLC5A9	5	34	7	22	3	73	2	17	18	8	29	46	31	43
BEND5	21	34	15	21	22	51	30	182	19	28	44	23	53	13
LOC101929721	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGBL4-IT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DMRTA2	0	0	2	0	0	0	0	0	0	0	2	0	0	0
CDKN2C	647	135	203	142	360	255	14	285	178	132	130	60	336	115
C1orf185	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4421	1	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR6500	1	0	0	0	0	0	0	0	0	0	0	0	0	0
RNF11	5606	6090	8797	6357	13639	7846	6196	12247	8117	7072	6201	6013	9094	8251
TTC39A-AS1	1	0	3	1	0	6	0	5	0	0	2	6	0	2
MIR761	0	0	0	0	0	1	2	0	0	0	0	1	0	0
TXNDC12	3178	2304	4699	2837	6160	2834	3166	6262	3825	2880	2634	2645	4223	4117
KTI12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TXNDC12-AS1	14	12	26	27	14	16	22	18	13	21	8	18	11	29
BTF3L4	3086	2432	3286	3186	6552	3051	2544	5328	4543	2801	2400	2642	4000	3709
ORC1	2125	278	833	702	3593	775	93	1018	1597	513	612	726	1364	451
PRPF38A	2346	1579	1815	1908	3029	2283	930	2937	2196	1458	1425	1727	2341	2019
GPX7	860	372	771	1675	1198	712	854	1360	1224	778	1018	647	1617	2036
COA7	1337	690	1279	1016	2046	1194	428	1626	1738	998	733	1107	1451	948
FAM159A	0	8	2	0	4	4	10	0	0	0	6	1	2	0
ECHDC2	817	1305	1173	1222	621	861	1822	1036	713	1265	1361	1256	812	1310
MIR5095	8	10	7	6	1	4	8	4	6	7	3	6	2	3
MIR1273F	0	0	2	0	0	0	3	0	0	5	0	0	0	0
